iter	Passed	Remaining
0	146	146753
1	148	73989
2	149	49723
3	150	37575
4	153	30535
5	154	25625
6	155	22119
7	157	19496
8	158	17450
9	159	15786
10	160	14450
11	162	13352
12	163	12413
13	164	11613
14	166	10910
15	168	10354
16	169	9821
17	173	9465
18	174	9019
19	176	8632
20	177	8272
21	178	7946
22	181	7727
23	183	7450
24	184	7198
25	187	7013
26	188	6793
27	189	6590
28	191	6405
29	192	6228
30	194	6065
31	195	5910
32	196	5769
33	198	5633
34	199	5502
35	200	5378
36	202	5261
37	203	5154
38	204	5051
39	206	4950
40	207	4856
41	208	4762
42	209	4668
43	210	4582
44	212	4499
45	213	4424
46	214	4348
47	216	4284
48	217	4226
49	219	4161
50	220	4101
51	222	4049
52	223	3994
53	224	3939
54	226	3885
55	227	3835
56	228	3786
57	230	3738
58	231	3696
59	233	3651
60	234	3607
61	235	3565
62	237	3525
63	249	3650
64	250	3608
65	252	3569
66	253	3529
67	254	3490
68	256	3455
69	257	3415
70	257	3374
71	258	3335
72	259	3297
73	260	3262
74	263	3250
75	264	3216
76	265	3182
77	266	3149
78	267	3115
79	268	3082
80	268	3050
81	269	3019
82	270	2988
83	271	2959
84	272	2932
85	273	2904
86	274	2877
87	275	2850
88	275	2824
89	279	2829
90	280	2804
91	281	2778
92	282	2754
93	283	2729
94	283	2705
95	284	2682
96	285	2660
97	286	2637
98	287	2617
99	288	2596
100	289	2575
101	290	2555
102	291	2536
103	293	2524
104	293	2505
105	294	2485
106	295	2467
107	296	2449
108	297	2431
109	299	2420
110	300	2404
111	301	2393
112	302	2375
113	303	2358
114	304	2342
115	305	2328
116	308	2325
117	309	2311
118	310	2296
119	311	2280
120	311	2262
121	312	2247
122	313	2232
123	314	2218
124	314	2204
125	315	2191
126	316	2177
127	317	2164
128	318	2151
129	319	2138
130	320	2125
131	322	2122
132	323	2109
133	324	2097
134	325	2084
135	326	2072
136	327	2060
137	327	2048
138	328	2036
139	329	2024
140	330	2012
141	331	2001
142	331	1988
143	332	1977
144	333	1966
145	335	1960
146	337	1958
147	338	1947
148	339	1937
149	340	1928
150	341	1917
151	342	1908
152	342	1897
153	345	1900
154	346	1890
155	347	1881
156	348	1872
157	349	1862
158	350	1853
159	352	1850
160	353	1841
161	354	1833
162	355	1825
163	356	1817
164	357	1809
165	358	1801
166	359	1793
167	360	1786
168	361	1778
169	362	1769
170	363	1761
171	364	1754
172	365	1746
173	367	1742
174	368	1735
175	368	1727
176	369	1719
177	370	1711
178	371	1704
179	372	1696
180	373	1689
181	374	1681
182	374	1674
183	375	1666
184	376	1659
185	377	1652
186	378	1645
187	379	1638
188	380	1631
189	381	1627
190	383	1622
191	383	1615
192	384	1608
193	385	1601
194	386	1595
195	387	1588
196	388	1581
197	388	1575
198	389	1568
199	390	1562
200	391	1556
201	392	1550
202	393	1544
203	394	1538
204	395	1531
205	397	1531
206	398	1525
207	398	1519
208	399	1513
209	400	1507
210	401	1500
211	402	1495
212	403	1490
213	404	1484
214	404	1478
215	405	1472
216	406	1467
217	407	1461
218	408	1455
219	410	1454
220	411	1449
221	411	1443
222	412	1437
223	413	1432
224	414	1427
225	415	1422
226	416	1416
227	417	1413
228	418	1407
229	419	1402
230	419	1397
231	420	1392
232	421	1387
233	422	1382
234	423	1377
235	424	1375
236	426	1371
237	427	1367
238	428	1363
239	429	1359
240	430	1356
241	431	1352
242	432	1348
243	433	1343
244	434	1339
245	435	1334
246	436	1330
247	437	1325
248	438	1321
249	440	1320
250	441	1316
251	442	1312
252	443	1308
253	444	1304
254	445	1301
255	446	1297
256	447	1293
257	448	1289
258	449	1285
259	450	1281
260	450	1276
261	451	1272
262	452	1268
263	453	1264
264	455	1263
265	456	1259
266	457	1255
267	457	1250
268	458	1247
269	459	1243
270	460	1239
271	461	1235
272	462	1231
273	463	1227
274	464	1223
275	464	1219
276	465	1215
277	466	1212
278	467	1208
279	471	1212
280	472	1208
281	473	1204
282	474	1201
283	474	1197
284	475	1193
285	476	1189
286	477	1186
287	478	1182
288	479	1178
289	479	1174
290	480	1171
291	481	1167
292	482	1163
293	483	1160
294	485	1160
295	486	1157
296	487	1154
297	488	1151
298	489	1147
299	490	1144
300	491	1141
301	492	1138
302	493	1134
303	494	1131
304	495	1128
305	495	1124
306	496	1121
307	497	1117
308	498	1114
309	501	1116
310	502	1113
311	503	1109
312	504	1106
313	505	1104
314	506	1102
315	507	1099
316	508	1096
317	509	1093
318	510	1090
319	511	1087
320	517	1093
321	519	1094
322	521	1092
323	523	1091
324	524	1089
325	526	1087
326	527	1084
327	529	1084
328	534	1090
329	535	1087
330	536	1084
331	537	1081
332	539	1080
333	540	1078
334	544	1081
335	546	1079
336	547	1076
337	548	1073
338	549	1071
339	550	1067
340	551	1065
341	552	1062
342	553	1060
343	554	1057
344	556	1056
345	561	1061
346	562	1058
347	563	1055
348	564	1052
349	565	1049
350	568	1051
351	570	1050
352	576	1055
353	577	1053
354	578	1050
355	579	1048
356	580	1045
357	581	1043
358	582	1040
359	583	1038
360	584	1035
361	585	1032
362	589	1034
363	592	1035
364	593	1033
365	595	1030
366	596	1028
367	597	1026
368	599	1025
369	600	1022
370	604	1024
371	607	1025
372	608	1022
373	609	1019
374	610	1017
375	611	1014
376	612	1011
377	613	1009
378	614	1007
379	616	1005
380	622	1011
381	623	1008
382	624	1005
383	625	1003
384	626	1000
385	627	998
386	631	1000
387	632	998
388	634	997
389	635	994
390	636	991
391	637	989
392	638	986
393	639	984
394	640	981
395	641	978
396	642	976
397	643	973
398	644	970
399	644	967
400	645	964
401	646	961
402	650	964
403	651	961
404	652	959
405	653	956
406	654	953
407	654	950
408	655	947
409	656	945
410	657	942
411	658	939
412	659	937
413	660	934
414	661	931
415	662	929
416	664	929
417	665	926
418	666	924
419	667	921
420	668	918
421	668	916
422	669	913
423	670	911
424	673	911
425	677	913
426	679	912
427	680	909
428	681	907
429	682	904
430	683	902
431	684	899
432	684	896
433	685	894
434	686	891
435	687	889
436	688	886
437	692	888
438	693	885
439	694	883
440	695	881
441	696	879
442	697	876
443	698	874
444	699	871
445	699	869
446	700	866
447	701	864
448	702	862
449	703	859
450	707	860
451	708	858
452	709	856
453	710	854
454	710	851
455	711	849
456	712	846
457	713	844
458	714	841
459	714	839
460	716	837
461	716	834
462	717	832
463	718	830
464	722	830
465	723	828
466	723	826
467	725	824
468	726	822
469	727	819
470	728	817
471	729	815
472	730	814
473	731	812
474	732	809
475	733	807
476	736	807
477	738	806
478	739	804
479	742	804
480	743	801
481	743	799
482	744	797
483	745	794
484	746	792
485	747	790
486	748	788
487	749	786
488	753	787
489	754	785
490	755	783
491	756	781
492	757	779
493	758	776
494	759	774
495	760	772
496	761	770
497	762	768
498	763	766
499	763	763
500	768	765
501	769	763
502	770	761
503	771	759
504	772	757
505	773	754
506	773	752
507	774	750
508	775	748
509	776	746
510	777	743
511	778	741
512	779	739
513	782	739
514	782	737
515	783	734
516	784	732
517	785	730
518	785	728
519	786	726
520	787	724
521	788	721
522	789	719
523	790	717
524	791	715
525	791	713
526	792	711
527	793	709
528	796	709
529	797	707
530	798	705
531	799	703
532	799	700
533	800	698
534	801	696
535	802	694
536	803	692
537	804	690
538	807	690
539	808	688
540	810	688
541	811	686
542	812	684
543	813	682
544	814	680
545	815	678
546	816	675
547	817	673
548	817	671
549	818	669
550	819	667
551	820	665
552	821	663
553	822	662
554	823	660
555	824	658
556	826	657
557	827	655
558	829	654
559	830	652
560	831	650
561	833	649
562	834	647
563	835	646
564	836	644
565	837	642
566	838	640
567	840	639
568	841	637
569	842	635
570	844	634
571	845	632
572	846	630
573	847	628
574	848	627
